Date, Open, High, Low, Close, Volume
12/28/18, 910.00, 914.00, 900.00, 900.00, 382040
12/27/18, 916.00, 924.00, 905.00, 905.00, 274520
12/26/18, 918.00, 918.00, 909.00, 911.00, 133400
12/21/18, 918.00, 919.50, 910.00, 914.00, 404820
12/20/18, 914.00, 925.00, 906.00, 918.00, 414360
12/19/18, 912.00, 915.00, 907.00, 914.00, 462640
12/18/18, 920.00, 925.00, 916.00, 918.50, 257640
12/17/18, 915.00, 930.00, 915.00, 927.00, 367430
12/14/18, 930.50, 940.00, 905.50, 914.00, 224610
12/13/18, 925.00, 935.50, 925.00, 930.50, 147380
12/12/18, 936.00, 937.00, 922.50, 925.00, 173100
12/11/18, 916.00, 938.00, 911.00, 938.00, 253250
12/10/18, 910.00, 923.00, 910.00, 910.00, 325360
12/07/18, 930.00, 935.50, 910.00, 910.00, 431280
12/06/18, 960.00, 960.00, 934.00, 934.00, 437970
12/05/18, 954.50, 968.50, 949.00, 960.00, 381020
12/04/18, 949.50, 978.00, 947.50, 970.50, 581690
12/03/18, 950.00, 959.50, 940.00, 950.00, 514410
11/29/18, 951.00, 958.00, 950.00, 951.00, 1009260
11/28/18, 941.00, 948.00, 937.00, 948.00, 264210
11/27/18, 941.00, 945.00, 930.00, 945.00, 186570
11/26/18, 939.00, 952.00, 937.00, 945.00, 211850
11/23/18, 935.00, 942.00, 929.00, 939.00, 145680
11/22/18, 926.00, 935.00, 913.00, 935.00, 123020
11/21/18, 932.00, 932.00, 916.50, 921.00, 231910
11/20/18, 937.00, 945.00, 927.00, 935.00, 172200
11/19/18, 918.00, 945.50, 915.00, 945.50, 248330
11/16/18, 898.00, 915.00, 898.00, 905.00, 405360
11/15/18, 895.00, 903.50, 891.50, 898.00, 196270
11/14/18, 910.00, 910.50, 890.00, 900.00, 314210
11/13/18, 900.00, 909.00, 893.50, 895.00, 415680
11/12/18, 900.00, 908.00, 890.00, 900.00, 380020
11/09/18, 902.50, 912.00, 902.00, 902.00, 112620
11/08/18, 920.00, 921.50, 901.50, 902.50, 218130
11/07/18, 940.00, 940.00, 915.00, 920.00, 187450
11/06/18, 935.00, 942.50, 925.00, 940.00, 230010
11/05/18, 938.00, 945.00, 922.50, 935.00, 486290
10/31/18, 900.50, 945.00, 899.00, 920.00, 461150
10/30/18, 912.00, 918.00, 900.00, 900.00, 107430
10/29/18, 906.00, 920.00, 906.00, 915.00, 121760
10/26/18, 897.00, 920.00, 890.00, 920.00, 155610
10/25/18, 900.00, 900.00, 885.00, 890.00, 215770
10/24/18, 917.00, 917.00, 903.00, 910.00, 183690
10/23/18, 930.00, 930.00, 911.50, 917.50, 77890
10/22/18, 910.00, 929.50, 910.00, 928.50, 226420
10/19/18, 907.00, 917.00, 901.00, 910.00, 130230
10/18/18, 903.00, 908.00, 900.50, 906.00, 87960
10/17/18, 905.00, 923.00, 905.00, 915.00, 105070
10/16/18, 898.00, 901.00, 886.00, 900.50, 189040
10/15/18, 901.00, 913.00, 894.50, 894.50, 63000
10/12/18, 880.50, 910.00, 880.50, 900.00, 133930
10/11/18, 890.00, 890.00, 869.00, 882.00, 335730
10/10/18, 911.00, 913.00, 899.00, 900.00, 242810
10/09/18, 931.00, 931.00, 908.00, 910.00, 102520
10/08/18, 930.00, 935.00, 921.00, 930.00, 113110
10/05/18, 930.00, 935.00, 911.50, 935.00, 196600
10/04/18, 940.00, 943.00, 913.00, 919.50, 238320
10/03/18, 908.00, 940.00, 908.00, 940.00, 175070
10/02/18, 910.00, 925.00, 901.00, 925.00, 235780
10/01/18, 929.00, 931.00, 906.00, 910.00, 180820
09/28/18, 949.50, 958.00, 928.00, 928.00, 228060
09/27/18, 939.00, 950.00, 926.00, 950.00, 222790
09/26/18, 920.00, 940.00, 917.50, 940.00, 480250
09/25/18, 919.50, 924.00, 905.00, 919.50, 193230
09/24/18, 908.00, 920.00, 901.00, 920.00, 201160
09/21/18, 890.00, 908.50, 890.00, 898.00, 448620
09/20/18, 890.00, 895.00, 885.00, 885.00, 263530
09/19/18, 906.00, 909.00, 885.00, 886.00, 391720
09/18/18, 906.00, 908.00, 901.00, 905.00, 433720
09/17/18, 905.00, 913.00, 900.50, 905.50, 216700
09/14/18, 907.00, 907.00, 892.00, 898.00, 511520
09/13/18, 915.50, 916.00, 895.00, 900.00, 348570
09/12/18, 902.00, 929.50, 902.00, 920.00, 256900
09/11/18, 914.00, 914.00, 895.50, 895.50, 272690
09/10/18, 917.00, 918.00, 891.00, 914.00, 645370
09/07/18, 940.00, 940.00, 900.00, 917.00, 836080
09/06/18, 965.00, 965.00, 940.00, 944.00, 424510
09/05/18, 985.00, 985.00, 963.00, 973.00, 261990
09/04/18, 985.00, 992.00, 979.00, 985.00, 152090
09/03/18, 997.00, 997.00, 972.00, 978.00, 198560
08/31/18, 990.00, 1000.00, 980.00, 1000.00, 334250
08/30/18, 992.00, 992.00, 975.00, 990.00, 164740
08/29/18, 975.50, 990.00, 975.00, 990.00, 160100
08/28/18, 990.00, 1003.00, 980.50, 991.00, 272430
08/24/18, 990.00, 990.00, 976.00, 990.00, 176340
08/23/18, 967.00, 990.00, 967.00, 990.00, 269100
08/22/18, 970.00, 975.00, 955.00, 975.00, 356940
08/20/18, 970.00, 985.00, 955.00, 955.00, 117480
08/17/18, 937.00, 999.00, 937.00, 999.00, 301200
08/16/18, 941.00, 943.50, 931.00, 936.00, 177290
08/15/18, 938.00, 949.00, 937.00, 941.00, 183140
08/14/18, 950.00, 950.00, 935.50, 937.00, 252400
08/13/18, 975.00, 975.00, 950.00, 953.50, 468430
08/10/18, 999.00, 1002.00, 984.00, 985.00, 446040
08/09/18, 1020.00, 1024.00, 997.50, 1010.00, 128040
08/08/18, 1008.00, 1020.00, 1007.00, 1020.00, 315175
08/07/18, 1000.00, 1012.00, 995.00, 1008.00, 163255
08/06/18, 1002.00, 1019.00, 1000.00, 1000.00, 258860
08/03/18, 991.00, 1020.00, 991.00, 1020.00, 357440
08/02/18, 1015.00, 1015.00, 992.00, 999.00, 127525
08/01/18, 997.00, 1015.00, 996.50, 1015.00, 3003360
07/31/18, 1008.00, 1008.00, 992.00, 999.00, 353235
07/30/18, 990.00, 1015.00, 985.00, 1013.00, 427720
07/27/18, 980.00, 990.00, 972.50, 990.00, 413640
07/26/18, 970.00, 984.50, 969.00, 980.00, 314780
07/25/18, 955.50, 980.00, 953.50, 964.00, 407050
07/24/18, 941.00, 959.00, 941.00, 955.50, 138520
07/23/18, 940.00, 960.00, 930.00, 951.00, 96360
07/20/18, 950.00, 960.00, 944.50, 960.00, 145670
07/19/18, 971.00, 972.00, 944.50, 950.00, 285420
