Date, Open, High, Low, Close, Volume
07/15/19, 917.00, 935.00, 917.00, 930.00, 569770
07/12/19, 910.00, 921.50, 910.00, 917.00, 266350
07/11/19, 910.00, 912.00, 908.00, 912.00, 284570
07/10/19, 919.50, 920.00, 905.00, 910.00, 104640
07/09/19, 915.00, 919.50, 915.00, 917.00, 246460
07/08/19, 912.00, 920.00, 907.00, 920.00, 204370
07/05/19, 901.00, 915.00, 900.00, 910.00, 288460
07/04/19, 903.00, 903.00, 899.00, 901.00, 323860
07/03/19, 901.00, 903.00, 899.50, 903.00, 754370
07/02/19, 903.00, 908.00, 897.00, 900.00, 330930
07/01/19, 894.50, 902.00, 894.50, 902.00, 235080
06/28/19, 899.50, 899.50, 893.50, 894.00, 437640
06/27/19, 896.00, 899.00, 894.00, 896.00, 421470
06/26/19, 899.00, 899.00, 894.00, 896.00, 327710
06/25/19, 900.00, 902.50, 892.00, 897.00, 387750
06/24/19, 904.50, 904.50, 895.50, 897.00, 407990
06/21/19, 896.50, 902.50, 896.50, 898.00, 636750
06/20/19, 899.00, 902.00, 892.00, 900.00, 969520
06/19/19, 900.00, 904.00, 897.00, 900.00, 603130
06/18/19, 899.00, 900.00, 892.50, 900.00, 418630
06/17/19, 904.50, 904.50, 896.00, 899.50, 393460
06/14/19, 915.00, 915.00, 898.00, 900.00, 663950
06/13/19, 910.00, 912.00, 890.00, 910.00, 584210
06/11/19, 927.00, 928.50, 917.50, 917.50, 165650
06/10/19, 923.00, 929.00, 920.00, 927.00, 256280
06/07/19, 928.00, 928.00, 919.00, 923.00, 171120
06/06/19, 931.00, 931.50, 921.00, 927.50, 655020
06/04/19, 931.00, 931.00, 916.00, 919.00, 288530
06/03/19, 915.00, 932.50, 910.00, 931.00, 591000
05/31/19, 908.50, 919.00, 906.50, 919.00, 390140
05/30/19, 899.00, 912.00, 898.50, 909.00, 449820
05/29/19, 892.00, 900.50, 892.00, 899.00, 273820
05/28/19, 904.00, 904.50, 891.00, 892.50, 1859680
05/27/19, 903.50, 904.00, 891.50, 902.00, 244650
05/24/19, 895.00, 900.00, 870.00, 900.00, 511720
05/23/19, 903.00, 905.50, 893.50, 895.00, 1572010
05/22/19, 863.50, 905.00, 853.00, 905.00, 1159100
05/21/19, 857.50, 867.00, 850.00, 850.00, 494070
05/20/19, 851.50, 863.50, 851.00, 857.00, 156510
05/17/19, 838.00, 868.50, 838.00, 850.00, 1077360
05/16/19, 875.00, 879.50, 838.00, 838.00, 1139700
05/15/19, 887.00, 895.00, 880.00, 880.00, 464510
05/14/19, 900.00, 914.00, 880.00, 880.00, 794540
05/10/19, 889.00, 897.00, 887.50, 890.00, 506040
05/09/19, 897.00, 898.00, 874.00, 889.00, 398880
05/08/19, 904.00, 904.00, 887.00, 901.00, 340900
05/07/19, 899.00, 904.00, 897.00, 900.00, 304940
05/06/19, 908.00, 908.00, 890.00, 898.00, 369980
05/03/19, 909.00, 915.00, 900.00, 900.00, 289320
05/02/19, 903.00, 913.00, 900.00, 909.00, 366050
04/30/19, 901.50, 904.00, 896.00, 904.00, 314900
04/29/19, 895.00, 905.00, 893.00, 900.00, 233520
04/26/19, 890.00, 896.50, 882.50, 895.00, 293870
04/25/19, 885.00, 894.00, 883.00, 885.00, 254930
04/24/19, 867.00, 885.00, 867.00, 884.00, 499250
04/23/19, 885.00, 887.50, 862.00, 865.00, 475950
04/22/19, 910.00, 910.00, 880.50, 882.00, 478150
04/17/19, 902.50, 915.00, 900.00, 900.00, 230520
